"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01027","5","10","71","0","2020","A","",188,3340,127836863,33573360,347194,736,38273,"",0.88,0.93,0.93,1.00,0.99,1.00,1.00,"",2,1.1,-5,-0.1,6513624,5.4,359804,1.1,16385,5.0,39,5.6,2007,5.5
"01029","0","10","70","0","2020","A","",235,2104,98735287,14914389,240297,903,46935,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.9,53,2.6,10537275,11.9,482300,3.3,17347,7.8,76,9.2,3922,9.1
"01029","1","10","71","0","2020","A","",8,51,2773337,0,0,1051,54647,"",5.82,1.15,1.00,0.00,0.00,0.87,0.87,"",0,0.0,2,4.1,213874,8.4,0,0.0,0,0.0,47,4.7,2413,4.6
"01029","2","10","71","0","2020","A","",10,111,3566432,0,0,616,32058,"",6.37,1.60,1.07,0.00,0.00,0.66,0.66,"",-1,-9.1,-5,-4.3,14925,0.4,0,0.0,0,0.0,26,4.4,1398,4.6
"01029","3","10","71","0","2020","A","",31,597,23700778,1184070,6986,764,39728,"",8.09,2.89,2.75,5.65,5.02,0.95,0.95,"",0,0.0,-8,-1.3,365655,1.6,-25660,-2.1,-1930,-21.6,22,3.0,1136,2.9
"01029","5","10","71","0","2020","A","",186,1345,68694740,13730319,233311,982,51071,"",0.81,0.75,0.82,0.94,0.98,1.08,1.08,"",2,1.1,64,5.0,9942821,16.9,507960,3.8,19277,9.0,100,11.3,5207,11.4
"01031","0","10","70","0","2020","A","",1070,15899,604992536,135349596,1360643,732,38052,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.1,-505,-3.1,24292705,4.2,1782401,1.3,-100143,-6.9,51,7.5,2652,7.5
"01031","1","10","71","0","2020","A","",16,283,18680857,0,0,1272,66127,"",2.56,0.85,1.10,0.00,0.00,1.30,1.30,"",-1,-5.9,-20,-6.6,-894236,-4.6,0,0.0,0,0.0,30,2.4,1540,2.4
"01031","2","10","71","0","2020","A","",21,432,19357606,0,0,861,44775,"",2.94,0.82,0.94,0.00,0.00,1.14,1.15,"",0,0.0,-4,-0.9,529283,2.8,0,0.0,0,0.0,30,3.6,1566,3.6
"01031","3","10","71","0","2020","A","",43,1886,77483243,2106251,16693,790,41089,"",2.46,1.21,1.47,1.11,2.12,1.21,1.22,"",0,0.0,-13,-0.7,2291875,3.0,-35961,-1.7,1700,11.3,28,3.7,1490,3.8
"01031","5","10","71","0","2020","A","",990,13298,489470830,133243345,1343950,708,36807,"",0.95,0.99,0.95,1.00,0.99,0.96,0.96,"",-1,-0.1,-468,-3.4,22365783,4.8,1818362,1.4,-101843,-7.0,55,8.4,2876,8.5
"01033","0","10","70","0","2020","A","",1372,23145,1112498553,189088856,2706899,924,48066,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",34,2.5,-1107,-4.6,19845827,1.8,1920844,1.0,-40271,-1.5,58,6.7,3012,6.7
"01033","1","10","71","0","2020","A","",15,611,69733425,0,0,2195,114130,"",1.87,1.25,2.23,0.00,0.00,1.78,1.78,"",0,0.0,21,3.6,5463365,8.5,0,0.0,0,0.0,100,4.8,5198,4.8
"01033","2","10","71","0","2020","A","",18,639,27200639,0,0,819,42601,"",1.96,0.84,0.72,0.00,0.00,0.86,0.86,"",0,0.0,-36,-5.3,1295622,5.0,0,0.0,0,0.0,81,11.0,4209,11.0
"01033","3","10","71","0","2020","A","",49,3184,149692660,1852122,10941,904,47009,"",2.19,1.40,1.54,0.70,0.70,1.10,1.10,"",3,6.5,-85,-2.6,6592576,4.6,339386,22.4,-468,-4.1,62,7.4,3227,7.4
"01033","5","10","71","0","2020","A","",1290,18712,865871829,187236734,2695958,890,46275,"",0.97,0.95,0.91,1.01,1.00,0.96,0.96,"",30,2.4,-1007,-5.1,6494264,0.8,1581458,0.9,-39803,-1.5,52,6.2,2693,6.2
"01035","0","10","70","0","2020","A","",253,3291,129742800,25733925,328440,758,39425,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.8,-140,-4.1,2060802,1.6,-965101,-3.6,-51332,-13.5,42,5.9,2207,5.9
"01035","1","10","71","0","2020","A","",5,32,1385322,0,0,822,42735,"",3.38,0.46,0.38,0.00,0.00,0.81,0.81,"",0,0.0,6,23.1,108302,8.5,0,0.0,0,0.0,-111,-11.9,-5759,-11.9
"01035","2","10","71","0","2020","A","",12,178,8503464,0,0,921,47907,"",7.10,1.64,1.93,0.00,0.00,1.18,1.18,"",0,0.0,-9,-4.8,141489,1.7,0,0.0,0,0.0,59,6.8,3071,6.8
"01035","3","10","71","0","2020","A","",20,485,17703202,146054,863,701,36476,"",4.85,1.50,1.57,0.40,0.45,1.04,1.04,"",-1,-4.8,-16,-3.2,-109758,-0.6,13279,10.0,82,10.5,17,2.5,933,2.6
"01035","5","10","71","0","2020","A","",216,2596,102150812,25587871,327577,757,39354,"",0.88,0.93,0.93,1.01,1.00,0.99,0.99,"",-2,-0.9,-121,-4.5,1920769,1.9,-978380,-3.7,-51414,-13.6,47,6.6,2460,6.7
"01037","0","10","70","0","2020","A","",138,1307,51981551,9344457,95235,765,39779,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,7.8,-134,-9.3,-273999,-0.5,-901067,-8.8,-42248,-30.7,68,9.8,3511,9.7
"01037","1","10","71","0","2020","A","",6,20,860350,0,0,841,43747,"",7.44,0.73,0.59,0.00,0.00,0.82,0.82,"",0,0.0,2,11.1,26380,3.2,0,0.0,0,0.0,-54,-6.0,-2800,-6.0
"01037","2","10","71","0","2020","A","",10,46,1458528,0,0,606,31536,"",10.85,1.07,0.83,0.00,0.00,0.77,0.77,"",0,0.0,0,0.0,-58862,-3.9,0,0.0,0,0.0,-27,-4.3,-1391,-4.2
"01037","3","10","71","0","2020","A","",13,255,8520464,105950,625,643,33446,"",5.78,1.99,1.88,0.81,1.13,0.95,0.95,"",-1,-7.1,-18,-6.6,-25008,-0.3,24437,30.0,146,30.5,40,6.6,2096,6.7
"01037","5","10","71","0","2020","A","",109,986,41142209,9238507,94610,802,41723,"",0.81,0.89,0.93,1.01,1.00,1.04,1.05,"",10,10.1,-118,-10.7,-216509,-0.5,-925504,-9.1,-42394,-30.9,82,11.4,4269,11.4
"01039","0","10","70","0","2020","A","",921,11587,458318347,89258798,1434466,761,39553,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,0.9,-653,-5.3,6426212,1.4,-4369805,-4.7,-399575,-21.8,51,7.2,2635,7.1
"01039","1","10","71","0","2020","A","",15,135,7550628,0,0,1079,56104,"",2.79,0.55,0.59,0.00,0.00,1.06,1.06,"",1,7.1,13,10.7,685875,10.0,0,0.0,0,0.0,-7,-0.6,-357,-0.6
"01039","2","10","71","0","2020","A","",16,347,16547870,0,0,917,47700,"",2.60,0.91,1.06,0.00,0.00,1.17,1.17,"",0,0.0,-14,-3.9,-35690,-0.2,0,0.0,0,0.0,33,3.7,1741,3.8
"01039","3","10","71","0","2020","A","",46,1477,55942210,331168,1954,728,37865,"",3.06,1.30,1.40,0.26,0.24,1.08,1.08,"",0,0.0,-54,-3.5,1387843,2.5,11461,3.6,67,3.6,43,6.3,2238,6.3
"01039","5","10","71","0","2020","A","",844,9629,378277639,88927630,1432512,756,39287,"",0.94,0.98,0.97,1.02,1.01,0.99,0.99,"",7,0.8,-598,-5.8,4388184,1.2,-4381266,-4.7,-399642,-21.8,53,7.5,2727,7.5
"01041","0","10","70","0","2020","A","",277,3426,136707609,29320596,444130,767,39904,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,5.3,-316,-8.4,-7618865,-5.3,-2299074,-7.3,-140088,-24.0,25,3.4,1336,3.5
"01041","1","10","71","0","2020","A","",10,47,1932523,0,0,795,41337,"",6.18,0.65,0.50,0.00,0.00,0.78,0.78,"",0,0.0,6,14.6,177324,10.1,0,0.0,0,0.0,-32,-3.9,-1647,-3.8
"01041","2","10","71","0","2020","A","",9,45,1983761,0,0,852,44330,"",4.86,0.40,0.43,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,54611,2.8,0,0.0,0,0.0,29,3.5,1539,3.6
